question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
C2,C_open,direct_resume,3,9339,187,327,0.046761300000000006,,agent_readonly,,,,false,1277,responses/direct_resume_C2_run3.txt,2946,100826,0.07793549999999999,MiniMax-M2.7,1,,2,substantive but not fully structured or missing some project specificity
A1,A_factual,cluster_consult,1,1918,4719,97,0.015612,agentsessionrouter-codebase,bare,false,false,1,true,210,responses/cluster_consult_A1_run1.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,1,2869,4720,444,0.02082,agentsessionrouter-codebase,bare,false,false,1,true,497,responses/cluster_consult_A2_run1.txt,,,,,,,3,all known cluster event types present
A3,A_factual,cluster_consult,1,1978,4722,168,0.016686,agentsessionrouter-codebase,bare,false,false,1,true,231,responses/cluster_consult_A3_run1.txt,,,,,,,3,"captures stale marking, event, error, and changed_files"
A4,A_factual,cluster_consult,1,1415,4719,103,0.015702,agentsessionrouter-codebase,bare,false,false,1,true,66,responses/cluster_consult_A4_run1.txt,,,,,,,3,bare args identified
A5,A_factual,cluster_consult,1,5950,4724,167,0.016677,agentsessionrouter-codebase,bare,false,false,1,true,4,responses/cluster_consult_A5_run1.txt,,,,,,,3,default 30 identified
B1,B_reasoning,cluster_consult,1,4308,4725,317,0.01893,agentsessionrouter-codebase,bare,false,false,1,true,332,responses/cluster_consult_B1_run1.txt,,,,,,,1,honest NOT IN CONTEXT/refusal; useful only if factsheet intentionally lacks this fact
B2,B_reasoning,cluster_consult,1,8753,4738,587,0.023019,agentsessionrouter-codebase,bare,false,false,1,true,1055,responses/cluster_consult_B2_run1.txt,,,,,,,2,partial orphan recovery path; matched 4/6
B3,B_reasoning,cluster_consult,1,2812,4736,338,0.019278,agentsessionrouter-codebase,bare,false,false,1,true,726,responses/cluster_consult_B3_run1.txt,,,,,,,3,distinguishes all trust states and rejection condition
C1,C_open,cluster_consult,1,10269,51,436,0.006693,agentsessionrouter-codebase,bare,false,false,1,true,931,responses/cluster_consult_C1_run1.txt,,,,,,,3,"specific, project-aware, and gives at least three concrete points"
C2,C_open,cluster_consult,1,14645,0,670,0.01005,agentsessionrouter-codebase,bare,false,false,1,true,749,responses/cluster_consult_C2_run1.txt,,,,,,,1,honest NOT IN CONTEXT/refusal; useful only if factsheet intentionally lacks this fact
A1,A_factual,cluster_consult,2,1903,4720,146,0.01635,agentsessionrouter-codebase,bare,false,false,1,true,192,responses/cluster_consult_A1_run2.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,2,2822,4721,462,0.021093,agentsessionrouter-codebase,bare,false,false,1,true,614,responses/cluster_consult_A2_run2.txt,,,,,,,3,all known cluster event types present
A3,A_factual,cluster_consult,2,1994,4722,185,0.016941,agentsessionrouter-codebase,bare,false,false,1,true,338,responses/cluster_consult_A3_run2.txt,,,,,,,3,"captures stale marking, event, error, and changed_files"
A4,A_factual,cluster_consult,2,2007,4718,172,0.016734,agentsessionrouter-codebase,bare,false,false,1,true,21,responses/cluster_consult_A4_run2.txt,,,,,,,3,bare args identified
A5,A_factual,cluster_consult,2,2132,4724,189,0.017007,agentsessionrouter-codebase,bare,false,false,1,true,77,responses/cluster_consult_A5_run2.txt,,,,,,,3,default 30 identified
B1,B_reasoning,cluster_consult,2,8639,4726,461,0.021093,agentsessionrouter-codebase,bare,false,false,1,true,519,responses/cluster_consult_B1_run2.txt,,,,,,,3,explains verifier restriction and rationale for avoiding agent mode
B2,B_reasoning,cluster_consult,2,8006,4738,516,0.021954,agentsessionrouter-codebase,bare,false,false,1,true,1165,responses/cluster_consult_B2_run2.txt,,,,,,,1,partial orphan recovery path; matched 3/6
B3,B_reasoning,cluster_consult,2,4333,4736,255,0.018033,agentsessionrouter-codebase,bare,false,false,1,true,355,responses/cluster_consult_B3_run2.txt,,,,,,,3,distinguishes all trust states and rejection condition
C1,C_open,cluster_consult,2,2686,4722,260,0.018066,agentsessionrouter-codebase,bare,false,false,1,true,327,responses/cluster_consult_C1_run2.txt,,,,,,,1,honest NOT IN CONTEXT/refusal; useful only if factsheet intentionally lacks this fact
C2,C_open,cluster_consult,2,5796,4730,656,0.02403,agentsessionrouter-codebase,bare,false,false,1,true,821,responses/cluster_consult_C2_run2.txt,,,,,,,1,honest NOT IN CONTEXT/refusal; useful only if factsheet intentionally lacks this fact
